doy,sun_up,med_flip,sun_down,min_alt
1,09:08:00,12:34:00,15:51:00,15
2,09:08:00,12:35:00,15:52:00,15
3,09:08:00,12:35:00,15:52:00,15
4,09:08:00,12:36:00,15:53:00,15
5,09:08:00,12:36:00,15:54:00,15
6,09:08:00,12:37:00,15:55:00,15
7,09:07:00,12:37:00,15:57:00,15
8,09:07:00,12:37:00,15:58:00,15
9,09:07:00,12:38:00,15:59:00,15
10,09:07:00,12:38:00,16:00:00,15
11,09:06:00,12:39:00,16:01:00,15
12,09:06:00,12:39:00,16:02:00,15
13,09:06:00,12:39:00,16:03:00,15
14,09:05:00,12:40:00,16:04:00,15
15,09:05:00,12:40:00,16:06:00,15
16,09:04:00,12:41:00,16:07:00,15
17,09:04:00,12:41:00,16:08:00,15
18,09:03:00,12:41:00,16:09:00,15
19,09:02:00,12:41:00,16:11:00,15
20,09:02:00,12:42:00,16:12:00,15
21,09:01:00,12:42:00,16:13:00,15
22,09:00:00,12:42:00,16:14:00,15
23,09:00:00,12:43:00,16:16:00,15
24,08:59:00,12:43:00,16:17:00,15
25,08:58:00,12:43:00,16:18:00,15
26,08:57:00,12:43:00,16:20:00,15
27,08:56:00,12:44:00,16:21:00,15
28,08:55:00,12:44:00,16:22:00,15
29,08:54:00,12:44:00,16:24:00,15
30,08:53:00,12:44:00,16:25:00,15
31,08:52:00,12:44:00,16:26:00,15
32,08:51:00,12:44:00,16:27:00,15
33,08:50:00,12:45:00,16:29:00,15
34,08:49:00,12:45:00,16:30:00,15
35,08:48:00,12:45:00,16:31:00,15
36,08:47:00,12:45:00,16:33:00,15
37,08:46:00,12:45:00,16:34:00,15
38,08:45:00,12:45:00,16:35:00,15
39,08:44:00,12:45:00,16:36:00,15
40,08:42:00,12:45:00,16:38:00,15
41,08:41:00,12:45:00,16:39:00,15
42,08:40:00,12:45:00,16:40:00,15
43,08:39:00,12:45:00,16:41:00,15
44,08:37:00,12:45:00,16:43:00,15
45,08:36:00,12:45:00,16:44:00,15
46,08:35:00,12:45:00,16:45:00,15
47,08:34:00,12:45:00,16:46:00,15
48,08:32:00,12:45:00,16:48:00,15
49,08:31:00,12:45:00,16:49:00,15
50,08:30:00,12:45:00,16:50:00,15
51,08:28:00,12:45:00,16:51:00,15
52,08:27:00,12:45:00,16:52:00,15
53,08:26:00,12:44:00,16:53:00,15
54,08:24:00,12:44:00,16:54:00,15
55,08:23:00,12:44:00,16:56:00,15
56,08:21:00,12:44:00,16:57:00,15
57,08:20:00,12:44:00,16:58:00,15
58,08:18:00,12:44:00,16:59:00,15
59,08:17:00,12:43:00,17:00:00,15
60,08:16:00,12:43:00,17:01:00,15
61,08:14:00,12:43:00,17:02:00,15
62,08:13:00,12:43:00,17:03:00,15
63,08:11:00,12:43:00,17:04:00,15
64,08:10:00,12:42:00,17:05:00,15
65,08:08:00,12:42:00,17:06:00,15
66,08:07:00,12:42:00,17:07:00,15
67,08:05:00,12:42:00,17:08:00,15
68,08:04:00,12:41:00,17:09:00,15
69,08:03:00,12:41:00,17:10:00,15
70,08:01:00,12:41:00,17:11:00,15
71,08:00:00,12:41:00,17:12:00,15
72,07:58:00,12:40:00,17:13:00,15
73,07:57:00,12:40:00,17:14:00,15
74,07:55:00,12:40:00,17:15:00,15
75,07:54:00,12:40:00,17:16:00,15
76,07:52:00,12:39:00,17:16:00,15
77,07:51:00,12:39:00,17:17:00,15
78,07:49:00,12:39:00,17:18:00,15
79,07:48:00,12:38:00,17:19:00,15
80,07:46:00,12:38:00,17:20:00,15
81,07:45:00,12:38:00,17:21:00,15
82,07:44:00,12:38:00,17:22:00,15
83,07:42:00,12:37:00,17:22:00,15
84,07:41:00,12:37:00,17:23:00,15
85,07:39:00,12:37:00,17:24:00,15
86,07:38:00,12:36:00,17:25:00,15
87,07:36:00,12:36:00,17:26:00,15
88,07:35:00,12:36:00,17:27:00,15
89,07:34:00,12:35:00,17:27:00,15
90,07:32:00,12:35:00,17:28:00,15
91,07:31:00,12:35:00,17:29:00,15
92,07:29:00,12:34:00,17:30:00,15
93,07:28:00,12:34:00,17:30:00,15
94,07:27:00,12:34:00,17:31:00,15
95,07:25:00,12:34:00,17:32:00,15
96,07:24:00,12:33:00,17:33:00,15
97,07:23:00,12:33:00,17:33:00,15
98,07:21:00,12:33:00,17:34:00,15
99,07:20:00,12:32:00,17:35:00,15
100,07:19:00,12:32:00,17:36:00,15
101,07:18:00,12:32:00,17:36:00,15
102,07:16:00,12:32:00,17:37:00,15
103,07:15:00,12:31:00,17:38:00,15
104,07:14:00,12:31:00,17:39:00,15
105,07:13:00,12:31:00,17:39:00,15
106,07:12:00,12:31:00,17:40:00,15
107,07:10:00,12:30:00,17:41:00,15
108,07:09:00,12:30:00,17:41:00,15
109,07:08:00,12:30:00,17:42:00,15
110,07:07:00,12:30:00,17:43:00,15
111,07:06:00,12:30:00,17:44:00,15
112,07:05:00,12:29:00,17:44:00,15
113,07:04:00,12:29:00,17:45:00,15
114,07:03:00,12:29:00,17:46:00,15
115,07:01:00,12:29:00,17:46:00,15
116,07:00:00,12:29:00,17:47:00,15
117,06:59:00,12:28:00,17:48:00,15
118,06:58:00,12:28:00,17:48:00,15
119,06:57:00,12:28:00,17:49:00,15
120,06:56:00,12:28:00,17:50:00,15
121,06:56:00,12:28:00,17:50:00,15
122,06:55:00,12:28:00,17:51:00,15
123,06:54:00,12:28:00,17:52:00,15
124,06:53:00,12:28:00,17:53:00,15
125,06:52:00,12:28:00,17:53:00,15
126,06:51:00,12:27:00,17:54:00,15
127,06:50:00,12:27:00,17:55:00,15
128,06:50:00,12:27:00,17:55:00,15
129,06:49:00,12:27:00,17:56:00,15
130,06:48:00,12:27:00,17:56:00,15
131,06:47:00,12:27:00,17:57:00,15
132,06:47:00,12:27:00,17:58:00,15
133,06:46:00,12:27:00,17:58:00,15
134,06:45:00,12:27:00,17:59:00,15
135,06:45:00,12:27:00,18:00:00,15
136,06:44:00,12:27:00,18:00:00,15
137,06:43:00,12:27:00,18:01:00,15
138,06:43:00,12:27:00,18:02:00,15
